name,seasons,occasions,time,extras
Acqua di Gio Profumo,spring+summer,casual+formal,day+night,none
Acqua di Gio Profumo Special Blend,spring+summer+fall,formal,day+night,special
Creed Aventus,spring+summer,casual+formal,day,special
Bentley for Men Absolute,winter+fall,casual,night,none
Bleu de Chanel Eau de Parfum,spring+summer+fall,casual+formal,day+night,none
Mancera Cedrat Boise,spring+summer,date,day,special
Club de Nuit Intense for Men,spring+summer+fall,casual+formal,day+night,none
Davidoff Cool Water,summer,casual,day,none
D&G pour Homme Intenso,fall,date,night,none
Emporio Armani Stronger With You Intensely,fall,casual,night,none
Versace Eros,winter+fall,casual+club,night,none
Versace Eros Eau de Parfum,winter+fall,casual+club,night,none
Versace Eros Flame,winter+fall,casual+club,night,none
Lacoste Essential,summer,casual,day,none
Hugo by Hugo Boss,spring,casual,day,special
Hugo Red by Hugo Boss,spring+summer,casual,day,none
Montblanc Individuel,fall+spring,casual,day,special
Guerlain L'Homme Ideal L'Intense,winter+fall,casual,night,none
La Nuit de L'Homme Eau de Toilette,winter+fall,date,night,special
Prada L'Homme,spring,formal,day,none
Prada L'Homme Intense,winter+fall,formal,night,none
Sauvage Eau de Parfum,winter+fall+spring+summer,casual,day+night,none
Terre d'Hermes,fall+spring,casual+formal,day,none
D&G The One Eau de Parfum,winter+fall,date,night,none
Jean-Paul Gaultier Ultra Male,winter+fall,club,night,special
Versace pour Homme,summer,casual,day,none
Versace Dylan Blue,spring+summer+fall,casual,day+night,none
Azzaro Wanted by Night,winter+fall,date,night,none
Y Eau de Parfum,spring+summer+fall,casual,day+night,none
Armani Code Profumo,winter+fall,casual+date+club,night,none
ASQ Aromatic Vetiver,winter+fall,casual+date,night,none
Fazza' Velvet Eau de Parfum,winter+fall,date,night,special
AlHaramain Oudh 36 Nuit,winter+fall,casual+formal+date,night,special
AlHaramain Oud Cambodi Intense,winter+fall,casual+date,night,none
Rasasi Hawas,spring+summer,casual,day,none
Rasasi La Yuqawam Pour Homme,winter+fall,casual+formal+club,night,none
Rasasi La Yuqawam Tobacco Blaze,winter+fall,casual+formal,night,none
Dior Sauvage Cool Spray,spring+summer,casual,day,none
D&G Light Blue Eau Intense,summer,casual,day,none
Guerlain L'Homme Ideal Eau de Parfum,winter+fall,casual+date+club,night,none
Mancera Red Tobacco,winter+fall,casual+club,night,none
Club de Nuit Intense for Men Eau de Parfum,spring+summer+fall,casual+formal,day+night,none
Club de Nuit Sillage,spring+summer,casual+formal,day,none
Club de Nuit Milestone,spring+summer,casual+formal,day,none
Club de Nuit Intense for Men Parfum,spring+summer+fall,casual+formal,day+night,none
Viktor & Rolf Spicebomb Extreme,winter+fall,date+club,night,none
Mancera Instant Crush,winter+fall+spring,casual+club,day+night,none
MMM Replica By The Fireplace,winter+fall,date,night,none
Parfums de Marly Layton,winter+fall+spring,casual+date+club,day+night,special
Parfums de Marly Herod,winter+fall,casual+date+club,night,special
Parfums de Marly Carlisle,winter+fall,casual+club,night,special
Azalea Gold,winter+fall+spring,casual,day+night,none
Nishane Ani,winter+fall+spring,casual+date+club,day+night,special
Nishane Hacivat,spring+summer+fall,casual+formal,day,special
Initio Oud For Greatness,winter+fall,casual+formal+club,night,special
Initio Side Effect,winter+fall,casual+date+club,night,special
Xerjoff 1861 Naxos,winter+fall,casual+date,day+night,special
